Airport,Wifi information
Aberdeen Airport,Free wifi; network name: BT Openzone -- British Airways Lounge (near gates 1 and 2); network name: BALoungeWiFi password: any departing flight number
Addis Abada Airport (ADD),"Find London Bar in the airport, password is: london123"
Aeroparque Internacional Jorge Newbery,Free wifi; network name: AA2000-Personal
Aeropuerto de M‡laga,Free wireless throughout airport; network name (Kubi)
Aeropuerto Internacional Ingeniero Ambrosio Taravella,Free wifi; network name: AA2000-Personal
Aeropuerto Internacional Rafael Nu–ez,Avianca VIP Lounge; password: Movistaru
Airport Kiev (IEV),Free wifi
Alicante Airport,Free wifi throughout airport. Network name: Kubi
Amsterdam Airport Schiphol,Sit near the KLM lounge and tweak this password with the current date: KLM110613 (i.e. KLMDDMMYY).
Arturo Merino Ben’tez International Airport,Free wifi
Asheville Regional Airport,Free wifi
Auckland Airport,"Free wireless in airport, 30 minute time limit. network name: Airport Hotspot"
Bahrain International Airport,McDonald's in Departures Terminal. password: immobility
BarcelonaÐEl Prat Airport,"Terminal 1; T2A, T2B, T2C; network: Airport_Free_Wifi_AENA; free wifi"
Belgrade Nikola Tesla International Airport,Network: UniFi; password unifi
Ben Gurion Airport,Free wifi; network name: WIFI_BEN_GURION_AIRPORT
Berlin Schšnefeld Airport,Free wifi (60 minute limit); network name: Free Airport WiFi Telekom
Boston Logan International Airport,Delta Sky Club password: firstclass
Budapest Airport,Free wireless.
Cape Town Intl (CPT),Outside of Alba Easy Lounge; free wifi near gate 11.
Casablanca Mohammed V Airport,Starbucks; password: 12345678
Casablanca Mohammed V Airport,"Free wifi, 3 hour time limit. Network name: WIFI_Aeroport_MedV"
Cataratas International Airport,Free wifi; network name: AA2000-Personal
Christchurch Airport,Free wifi; network name: CIAL_Free_WiFi
Cincinnati/Northern Kentucky International Airport,Delta Sky Club password: firstclass
Cologne Bonn Airport,Free wireless; signal strongest in domestic/EU terminal near security check.
Copenhagen Airport,Free wireless.
Detroit Metropolitan Wayne County Airport,Delta Sky Club password: deltaone
DFW Airport,Delta Sky Club password: firstclass
Dresden Airport,"Free wifi throughout terminal. network: mycloud; 30 minute time limit can be reset with new (if desired, fake) email."
Dubai International Airport,"Dubai International Hotel (lounge opposite Boots store, concourse D). <br><br>Network: DubaiIntHotel<br>Password: wifi@dih"
Dubai International Airport,Emirates Lounge; password: ekloungedxb
Dublin Airport,Free wifi; network name: Dublin Airport Free Wi-Fi
Dulles International Airport,Delta Sky Club password: firstclass
Dunedin International Airport,Free wifi; 30 minute or 1000MB limit.
El Alto International Airport,Free wifi; network name: ENTEL-LPZ
El Dorado International Airport,Free wireless. Signal strongest near Juan Valdez Cafe.
El Dorado International Airport,Avianca VIP Lounge Gold and Diamond; password: MOVISTARMUSICA
Ercan Airport,Ercan (Cyprus) - ECN - Simit Sarayi outside security: 11223344
EuroAirport Basel-Mulhouse-Freiburg,Free wifi with a 2 hour limit. Requires a (throwaway) email to reset the timer. Network name: Free_EuroAirport_WiFi
Ezeiza International Airport,Free wifi; network name: AA2000-Personal
Flores Airport,Free wifi; network name: ENTEL-SCZ
Fort Lauderdale-Hollywood International Airport,Delta Sky Club password: firstclass
Francisco S‡ Carneiro Airport,Vip Lounge/ ANA Lounge. Pass: wifiLounge2016
Frankfurt Airport,Free wireless extended throughout entire airport. Name and email required.
General Mitchell International Airport,Delta Sky Club password: firstclass
George Bush Intercontinental Airport,Delta Sky Club password: firstclass
Exuma International Airport,Not available for free. Can buy wifi info at the snack/gift shop
Governor Francisco Gabrielli International Airport,Free wifi; network name: AA2000-Personal
Hartsfield-Jackson Atlanta International Airport,Delta Sky Club password: firstclass
